|                                   col0_1 |                                    col0_2 |         aperture_sum_3 |       aperture_sum_4 |       aperture_sum_5 |
|  3274.305474187071 .. 481.62887003376153 |  279.09912789330025 .. -23.93095553722467 |     -2.585108736473341 |   -7.434004392709821 |    -4.84889565623648 |
|    3061.34802739863 .. 483.3472872619225 |  279.10169203466717 .. -23.93093664713441 |    -2.0399706433945015 |   -6.921412444936176 |  -4.8814418015416745 |
|    2669.151968916272 .. 487.351127390624 | 279.10641431915116 .. -23.930892511922785 |      1.228214611323479 |                  inf |                  inf |
|   2924.2256175998987 .. 486.594396013136 | 279.10334307388604 .. -23.930900902581705 |    -2.4533473106900714 |   -7.243758899013388 |   -4.790411588323316 |
|    3121.115663426625 .. 486.718147447188 | 279.10097239513027 .. -23.930899547062154 |     2.1735261249534585 |   -2.258431612208249 |   -4.431957737161707 |
| 3284.2599527879283 .. 487.06317427433873 | 279.09900803639175 .. -23.930895727629498 |     -2.725206694513298 |   -7.385413201531965 |   -4.660206507018668 |
|  3254.025590484699 .. 488.30672821613695 |  279.0993720771775 .. -23.930882047633645 |    0.42227517721936564 |   -2.543384008023981 |   -2.965659185243347 |
|  2751.042540123088 .. 489.67118350171825 |  279.10542830501663 .. -23.93086700511148 |      1.124430731035773 |   -5.106577016684357 |   -6.231007747720129 |
| 2869.2076381574793 .. 491.71569126575133 |  279.1040055236314 .. -23.930844531595827 |     -1.977119040017267 |   -6.864253342161625 |   -4.887134302144358 |
|    2939.75994900028 .. 495.1237794631306 |  279.1031560298326 .. -23.930807033827932 |     0.9851826603551944 |   -5.420911777197813 |   -6.406094437553008 |
|   2650.15443678526 .. 496.83907434212745 | 279.10664305728983 .. -23.930788084728043 |     -2.710928949080019 |                  inf |                  inf |
|  2844.3717196479156 .. 498.0303327688761 | 279.10430456204597 .. -23.930775030796646 |      1.133541782251273 |    -4.96757624256021 |   -6.101118024811483 |
| 3153.0474258581094 .. 498.09925795974476 | 279.10058791794427 .. -23.930774289261503 |       -3.2208735987892 |   -8.540351123104319 |   -5.319477524315118 |
|  2675.261094184906 .. 499.85648092360134 | 279.10634075658294 .. -23.930754885798436 |     0.2964765768103266 |                  inf |                  inf |
| 3224.7854645391185 .. 499.91920144656575 |  279.0997241484429 .. -23.930754250932292 |   -0.41953246105251313 |   -6.282956846390391 |   -5.863424385337878 |
